pair_id,evidence_hand_1,evidence_hand_2,evidence_hand_3,evidence_hand_4,evidence_hand_5
PE42A334EB4D0,H5DB3F1CC25461F,H6332D10892CA66,H1B9ECA66BDB96F,H5C1BB834AAF955,H80A8D4458EAAA6
PE434D6049507,H1B190732957387,H0E48D72800EAB3,HD20BEF2ED080F2,HC4ECC876E494AA,HC04C3967DFB7A0
PE4777B3B1AE0,H0B988B8B655C45,H77FD3AEDEBF6E1,H1971ABFF33AAF3,HECA9B82AB9E28E,H7F8ABB7AF563CB
PE4F87C8A0CD4,HC351D0B8594CC7,H68582917C9C84C,HA25194DD440799,H95597DB617BE8D,H53D0CD0C130739
PE5AEF37DBBBF,HCF396957A3C974,HA5CD814D80F802,H4C60FBD5CCCD32,H8193D05960D028,HAC2F88F5CD6EF0
PE691DF76D715,H98EB1C9F2E8616,H455FE330DF1593,H96A2AC11AC63E2,H0BFDCA5E9F6493,H134D10C5C21148
PE763F5DB311A,H39D2C93F8A07D5,H209D8BC9AEE215,H854445D73848F8,H26B67D286668CE,H61EBE210212DAE
PE7BF65BB0A49,H225D6A4CE719E2,H0F443518680F68,H2875E15D89B2F5,HDE16D61D6754A4,H01E957E57D6112
PE8C3FD15FC0F,H784583A9A8F6B7,H21A218F68489E5,H4531E94B35032F,H377E5B08E188B6,H21CA810D54C7F2
PE9A3E2A3C70D,HC0F4823618150E,H17F4FF30CBCC97,HC8DF4656725A9D,H09CE91F5EE4AF3,H488A3DFBE9AC71
PEAD2D221E818,H20B5C1291C2CD2,H49DA518EE30810,H2D14DFCCCEF013,HBE4ACE79AB3C8F,H6740C5A74D12AC
PEC48A8A4B2BB,HC8200D607C5B9B,H2FDFA3F5560A7D,HEA3174E113DA9E,HD00B90564C7276,HB38735727D2F83
PEC74878658D2,H81EA5FD6150C1F,H76C4FE1D1F47C5,H899E1D9BD9EC51,H0F570884748B11,HB2990275A7E18B
PEC92C8D009B0,H446D99F73EE1B1,H9E46A54314731B,H8C196A9B55DA5B,HEE67DE9192FF7C,H40ADA08ACD9E6F
PEE38624DCB61,H56FA8D6BE16805,H0CB6569005419E,HD626F4C6816E13,H2436A700BE1F57,HE3C1FB09050A30
PF0ED0B43ACCD,H8D4A0DF9866B94,H14326376E7231C,H22ACD9438614A5,HAE0AEE89BEF08D,HC8E82F40A24ACD
PF2F71F50A5F3,HFAE71FD247379C,H9EA56500963CF3,H4C83882D2E2D3E,HB95B81BA220FA3,HA6FEB338916EAB
PF41C1FEA37AF,H791AE71B7D3F67,H4C875D2A346835,HAD159424B7D067,H653CEECE67496A,H393FFF614CFEFF
PF54C6A44AE9D,H631772AB6AADAC,H8796C7A3DC65FE,H1746CDD04D82C0,H81859B83EF9A49,H09F44FFD582BBF
PF5A60DB2724C,HF3EDDB2160B8F2,H1E0481BA4FDB4D,H1C55E907366C31,HF2F877352B632C,H9F7D458A97C6DC
PF5C1A7404085,H8D7F6F50E645B4,H68E79FF51490FC,H790EC29651FE3A,H3D86BB2BC68AE1,H98EB6F592591F6
PF94104ACBF4F,H5922D206A7B8D2,H9829183318A176,H653AF5278FD18F,H26177D2EEF4B9B,HB0401441EFC766
PF967C19A5B4D,H15A3BB04A2A7BE,H19E15439F75BE8,HBBD363D73FFFE6,H8CDCA4D4424637,HCC0F00FE614FAA
PFA4C04CBFB6D,H948FC601680333,HCC333DD64A3218,H3508C4C9BEE8DE,HB477DD1610CD54,H51D1637E1EDBB9
PFB40D5C9A1AA,HBB99B7D713AF09,HFD48A6C3435334,H126FFE83F58B61,H9B0176D8A6D712,H0996B160A4EA5A
PFB7BDA59A5BF,H250BF2321D7556,HF3BBE678A24AE8,H5ED994663D5397,HE06BBEE6836C27,H81F8FEECC3D28B
PFBF0CD66BFDE,H0BFE570A4BBF2C,H71A3EEFEF0A3BF,H307797AF3AE2F6,HF0EC09AFE6D50F,H50F23449F25990
PFCC0A069FEE0,HF58628B4E8B1E3,HC0DFADE79EC686,H995CB1F0BCC963,H93762EDEDAEFB6,H75BA331134A9B4
PFD7E76D056DA,H4BCEB8E47CC09D,HBAD30AE6BDCF85,H26F84649E57EA0,H4D17FE2EA7B4AF,HAFE280760D1B1E
PFEE98A23605E,HA3F9E44244AE75,H7E3A643C92F1BE,H380193AB6DCD30,H16373E27CA3AD3,H1286E804FCBCD4
